Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),101.00,0.00,49829.65,,,,,,93.47,,189.13,197.24,215.02,62.99
Active Decode Throughput Per User (tokens/sec/user),79.26,0.00,49829.65,,,,,,87.54,,110.17,126.41,187.61,50.80
Active Prefill Throughput (tokens/sec),31367.48,1000.18,280842.01,,,,,,13152.71,,99160.64,121794.85,151599.35,39834.60
Active Prefill Throughput Per User (tokens/sec/user),28174.58,684.92,158471.58,,,,,,9494.08,,97630.70,120966.98,150688.19,39540.97
Active Total Throughput (tokens/sec),10049.63,27.11,280842.01,,,,,,108.69,,28520.91,78997.53,131239.88,26745.95
Credit Drop Latency (ms),13.40,1.59,98.27,227.78,1.63,1.79,2.07,5.88,8.20,12.36,13.82,31.00,84.81,21.58
Credit-to-Start Latency (ms),2.90,0.58,99.90,710.15,0.90,0.99,1.04,1.15,1.28,1.46,1.91,16.18,25.02,7.68
E2E Output Token Throughput (tokens/sec/user),55.11,0.13,108.68,13503.02,1.55,8.88,15.99,34.04,58.34,76.20,89.98,95.66,102.99,26.96
Effective Concurrency,1.26,0.00,7.00,,,,,,1.00,,3.00,4.00,6.00,1.40
Effective Decode Concurrency,0.85,0.00,2.00,,,,,,1.00,,2.00,2.00,2.00,0.73
Effective Decode Throughput (tokens/sec),69.17,0.00,49829.65,,,,,,77.54,,162.37,190.67,210.14,68.30
Effective Decode Throughput Per User (tokens/sec/user),51.04,0.00,49829.65,,,,,,50.66,,106.48,112.45,183.17,55.69
Effective Latency (CO-aware) (ms),9287.79,270.60,123133.28,2275508.22,293.37,674.99,1112.08,1846.49,3737.54,7722.89,17571.03,42605.76,93471.30,17353.39
Effective Prefill Concurrency,0.42,0.00,7.00,,,,,,0.00,,2.00,2.00,5.00,0.97
Effective Prefill Throughput (tokens/sec),6929.85,0.00,280842.01,,,,,,0.00,,15442.17,50740.17,123786.67,22801.57
Effective Prefill Throughput Per User (tokens/sec/user),6224.46,0.00,158471.58,,,,,,0.00,,11076.57,45387.83,121794.85,21955.43
Effective Total Throughput (tokens/sec),6999.39,0.00,280842.01,,,,,,94.80,,15442.17,50806.19,123786.67,22794.20
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,509.69,3.00,9371.00,124875.00,4.44,11.20,45.00,100.00,152.00,346.00,1034.80,2387.40,6645.00,1178.28
HTTP Chunks Sent,1.00,1.00,1.00,245.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.28,0.00,3.56,68.21,0.00,0.00,0.00,0.00,0.00,0.63,0.76,1.20,2.61,0.54
HTTP Connection Overhead (ms),0.30,0.00,5.73,74.49,0.00,0.00,0.00,0.00,0.00,0.63,0.76,1.55,2.61,0.64
HTTP Connection Reused (ratio),0.70,0.00,1.00,172.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.46
HTTP Data Received (KB),127.29,1.36,2333.49,31187.04,1.72,3.41,11.84,25.56,38.48,86.60,258.10,590.34,1652.40,292.80
HTTP Data Sent (KB),197.85,1.68,465.97,48473.12,2.09,66.33,85.44,135.96,200.03,247.77,287.16,330.83,461.47,90.34
HTTP DNS Lookup (ms),0.03,0.00,2.17,6.28,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.57,0.17
HTTP Duration (excl. conn) (ms),9284.79,260.60,123131.87,2274772.64,281.96,673.43,1110.76,1841.52,3736.43,7721.60,17559.88,42604.29,93469.80,17352.92
HTTP Receiving (ms),6225.26,5.14,103014.80,1525189.64,23.01,111.60,572.74,1106.22,2106.80,4484.57,10406.60,26796.17,86923.11,14630.73
HTTP Sending (ms),0.52,0.11,3.68,127.19,0.18,0.20,0.20,0.21,0.25,0.88,1.07,1.44,2.71,0.54
HTTP Total Time (ms),9285.09,260.60,123131.87,2274847.13,281.96,673.43,1111.03,1841.52,3736.43,7721.60,17560.81,42604.42,93469.80,17352.93
HTTP Waiting (TTFB) (ms),3059.00,72.22,67841.94,749455.81,117.70,325.17,430.81,503.92,678.73,1797.10,5903.98,11715.19,44683.85,8172.28
Input Sequence Length (tokens),50963.51,430.00,119005.00,12486061.00,490.00,17177.00,21888.80,34971.00,51468.00,64233.00,74133.40,84337.20,117815.80,23170.18
Inter Chunk Latency (ms),12.77,0.00,1265.38,1525097.31,7.10,8.94,9.17,9.78,11.20,12.95,14.42,22.08,27.45,21.34
Inter Token Latency (ms),12.80,1.03,135.95,3137.03,3.37,8.05,8.89,9.30,11.60,13.37,16.46,19.74,34.73,9.92
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),512.38,6.00,9379.00,125532.00,7.32,15.00,51.00,102.00,155.00,348.00,1037.40,2390.00,6659.96,1179.75
Output Token Count (tokens),512.38,6.00,9379.00,125532.00,7.32,15.00,51.00,102.00,155.00,348.00,1037.40,2390.00,6659.96,1179.75
Output Token Throughput Per User (tokens/sec/user),94.72,7.36,974.83,23205.47,28.94,50.67,60.76,74.80,86.18,107.49,112.54,124.28,297.02,66.68
Prefill Throughput Per User (tokens/sec/user),66518.05,406.24,158471.58,16296923.05,1065.05,2360.88,4431.65,19369.99,71944.84,103283.63,129112.83,134955.21,153438.28,45802.27
Request Latency (ms),9284.52,260.69,123131.96,2274707.81,282.08,673.53,1110.88,1841.60,3736.52,7721.69,17559.95,42604.40,93469.89,17352.54
Requested OSL (tokens),512.38,6.00,9379.00,125532.00,7.32,15.00,51.00,102.00,155.00,348.00,1037.40,2390.00,6659.96,1179.75
Time to First Output Token (ms),3059.63,72.58,67843.05,749610.50,118.03,325.59,431.59,504.25,679.13,1797.41,5905.85,11715.51,44684.26,8172.34
Time to First Token (ms),3059.63,72.58,67843.05,749610.50,118.03,325.59,431.59,504.25,679.13,1797.41,5905.85,11715.51,44684.26,8172.34
Time to Second Token (ms),9.58,0.09,615.49,2347.43,0.10,0.15,0.20,0.28,0.38,0.48,1.76,9.92,360.37,61.19
Tokens In Flight (tokens),74043.37,0.00,286047.57,,,,,,63684.61,,176833.84,243267.56,284581.22,73224.25
Usage Completion Tokens (tokens),512.38,6.00,9379.00,125532.00,7.32,15.00,51.00,102.00,155.00,348.00,1037.40,2390.00,6659.96,1179.75
Usage Prompt Tokens (tokens),50963.51,430.00,119005.00,12486061.00,490.00,17177.00,21888.80,34971.00,51468.00,64233.00,74133.40,84337.20,117815.80,23170.18
Usage Total Tokens (tokens),51475.89,450.00,119106.00,12611593.00,511.96,17433.80,22268.80,35238.00,51999.00,64626.00,74637.00,85570.40,118051.12,23441.47

Metric,Value
Benchmark Duration (sec),1801.76
Input Token Throughput (tokens/sec),6929.92
Maximum Response Timestamp (ns),1780506364227151872.00
Minimum Request Timestamp (ns),1780504562466984192.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),69.67
Request Count,245.00
Request Throughput (requests/sec),0.14
Theoretical Prefix Cache Hit (%),91.30
Total Input Sequence Length (tokens),12486061.00
Total Output Sequence Length (tokens),125532.00
Total Output Tokens (tokens),125532.00
Total Token Throughput (tokens/sec),6999.60
Total Usage Completion Tokens (tokens),125532.00
Total Usage Prompt Tokens (tokens),12486061.00
Total Usage Total Tokens (tokens),12611593.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
