Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),56.71,0.00,18696.01,,,,,,49.24,,107.80,119.94,141.48,45.34
Active Decode Throughput Per User (tokens/sec/user),17.92,0.00,6871.65,,,,,,18.25,,32.36,38.20,44.02,21.04
Active Prefill Throughput (tokens/sec),6182.70,856.27,217229.70,,,,,,5469.57,,9055.27,10925.51,17586.04,7332.14
Active Prefill Throughput Per User (tokens/sec/user),2218.53,630.79,146910.12,,,,,,1535.30,,3369.74,4419.93,10908.33,5657.45
Active Total Throughput (tokens/sec),6009.25,21.01,217306.77,,,,,,5437.97,,8949.01,10771.11,17630.76,7285.56
Credit Drop Latency (ms),9.30,2.37,17.28,46.51,2.47,2.88,3.38,4.89,7.62,14.35,16.11,16.70,17.17,5.65
Credit-to-Start Latency (ms),3.09,0.99,95.69,417.05,1.04,1.13,1.24,1.35,1.60,1.82,3.44,9.59,18.56,8.53
E2E Output Token Throughput (tokens/sec/user),8.21,0.06,44.76,1107.76,0.10,0.15,0.37,2.95,5.77,12.54,16.36,18.64,38.83,7.55
Effective Concurrency,6.51,1.00,8.00,,,,,,7.00,,8.00,8.00,8.00,1.34
Effective Decode Concurrency,3.15,0.00,6.00,,,,,,3.00,,5.00,5.00,6.00,1.08
Effective Decode Throughput (tokens/sec),56.39,0.00,18696.01,,,,,,49.19,,107.54,119.92,141.48,45.36
Effective Decode Throughput Per User (tokens/sec/user),17.81,0.00,6871.65,,,,,,18.08,,32.36,38.20,44.02,21.02
Effective Latency (CO-aware) (ms),87910.05,727.60,334267.64,11867857.14,935.89,7363.89,23698.41,52148.03,76448.51,105970.69,164237.55,211634.31,310822.24,63530.33
Effective Prefill Concurrency,3.36,0.00,6.00,,,,,,3.00,,5.00,5.00,6.00,1.35
Effective Prefill Throughput (tokens/sec),5951.46,0.00,217229.70,,,,,,5394.33,,8914.71,10726.60,17586.04,7288.75
Effective Prefill Throughput Per User (tokens/sec/user),2135.56,0.00,146910.12,,,,,,1495.96,,3369.74,4288.21,10908.33,5566.59
Effective Total Throughput (tokens/sec),6009.25,21.01,217306.77,,,,,,5437.97,,8949.01,10771.11,17630.76,7285.56
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,779.70,5.00,5531.00,105260.00,5.00,8.70,12.40,157.00,315.00,936.00,2027.20,3149.70,5100.84,1087.65
HTTP Chunks Sent,1.00,1.00,1.00,135.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.60,0.00,3.69,81.56,0.00,0.00,0.00,0.00,0.67,1.00,1.19,1.23,2.48,0.57
HTTP Connection Overhead (ms),0.72,0.00,3.69,96.70,0.00,0.00,0.00,0.00,0.67,1.32,1.66,1.75,2.63,0.69
HTTP Connection Reused (ratio),0.35,0.00,1.00,47.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.48
HTTP Data Received (KB),194.26,1.84,1366.50,26224.93,1.85,2.76,3.70,39.75,79.00,232.48,504.43,781.86,1268.12,270.07
HTTP Data Sent (KB),312.56,1.72,736.53,42195.55,3.20,77.64,104.28,199.78,325.59,374.44,517.58,710.48,735.60,163.88
HTTP DNS Lookup (ms),0.11,0.00,0.62,15.15,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.52,0.57,0.21
HTTP Duration (excl. conn) (ms),87906.85,726.25,334265.34,11867425.02,931.43,7359.76,23696.54,52146.36,76446.85,105968.92,164235.02,211632.35,310820.31,63531.09
HTTP Receiving (ms),42575.87,68.22,278998.57,5747742.71,77.13,265.72,1314.97,6339.28,20058.18,52476.58,111331.68,153638.80,265644.24,57609.03
HTTP Sending (ms),0.88,0.18,3.89,118.15,0.21,0.23,0.24,0.26,0.94,1.26,1.45,1.54,2.72,0.57
HTTP Total Time (ms),87907.57,726.88,334267.14,11867521.73,931.43,7360.02,23696.88,52147.44,76447.55,105970.08,164235.94,211632.54,310821.95,63531.28
HTTP Waiting (TTFB) (ms),45330.10,154.01,111083.28,6119564.16,258.79,579.98,5202.90,26324.93,47463.99,64436.37,81282.60,90982.26,105161.98,27665.28
Input Sequence Length (tokens),80373.79,432.00,191382.00,10850461.00,773.46,19918.20,27015.60,51338.50,84120.00,96461.00,132811.60,182750.40,190535.76,42165.44
Inter Chunk Latency (ms),58.71,0.11,4333.03,5747363.20,19.00,21.83,24.43,26.04,26.59,35.24,44.45,70.09,1002.03,172.01
Inter Token Latency (ms),74.04,13.64,588.28,9995.98,15.43,22.00,25.84,31.84,49.18,74.01,117.60,215.20,482.99,88.15
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),781.43,6.00,5533.00,105493.00,6.00,9.00,12.80,157.50,317.00,936.50,2034.80,3161.90,5108.20,1089.26
Output Token Count (tokens),781.43,6.00,5533.00,105493.00,6.00,9.00,12.80,157.50,317.00,936.50,2034.80,3161.90,5108.20,1089.26
Output Token Throughput Per User (tokens/sec/user),22.79,1.70,73.30,3076.03,2.09,4.71,8.50,13.51,20.33,31.42,38.69,45.45,64.91,13.32
Prefill Throughput Per User (tokens/sec/user),10622.56,8.83,146910.14,1434045.92,39.93,446.89,661.92,1020.35,1972.13,3608.05,11918.04,78092.28,142577.34,28463.71
Request Latency (ms),87904.16,726.36,334265.48,11867061.82,931.54,7359.87,23696.65,52146.47,76446.98,105969.04,164235.11,211632.47,310801.47,63530.41
Requested OSL (tokens),781.43,6.00,5533.00,105493.00,6.00,9.00,12.80,157.50,317.00,936.50,2034.80,3161.90,5108.20,1089.26
Time to First Output Token (ms),45331.10,154.36,111084.12,6119698.63,259.13,580.36,5204.07,26325.66,47464.32,64437.47,81283.24,90983.79,105162.79,27665.34
Time to First Token (ms),45331.10,154.36,111084.12,6119698.63,259.13,580.36,5204.07,26325.66,47464.32,64437.47,81283.24,90983.79,105162.79,27665.34
Time to Second Token (ms),75.82,0.11,690.03,10235.42,0.13,0.20,0.26,0.32,0.44,66.71,297.38,309.36,416.57,134.10
Tokens In Flight (tokens),629090.28,88320.00,898692.80,,,,,,646527.27,,787597.80,833934.00,887940.69,145575.54
Usage Completion Tokens (tokens),781.43,6.00,5533.00,105493.00,6.00,9.00,12.80,157.50,317.00,936.50,2034.80,3161.90,5108.20,1089.26
Usage Prompt Tokens (tokens),80373.79,432.00,191382.00,10850461.00,773.46,19918.20,27015.60,51338.50,84120.00,96461.00,132811.60,182750.40,190535.76,42165.44
Usage Total Tokens (tokens),81155.21,447.00,194876.00,10955954.00,795.14,20088.50,27470.60,51798.50,84496.00,97859.50,134021.00,187180.40,194245.44,42743.25

Metric,Value
Benchmark Duration (sec),1823.16
Input Token Throughput (tokens/sec),5951.46
Maximum Response Timestamp (ns),1780501680397328896.00
Minimum Request Timestamp (ns),1780499857238562304.00
OSL Mismatch Count,0.00
Output Token Throughput (tokens/sec),57.86
Request Count,135.00
Request Throughput (requests/sec),0.07
Theoretical Prefix Cache Hit (%),94.51
Total Input Sequence Length (tokens),10850461.00
Total Output Sequence Length (tokens),105493.00
Total Output Tokens (tokens),105493.00
Total Token Throughput (tokens/sec),6009.33
Total Usage Completion Tokens (tokens),105493.00
Total Usage Prompt Tokens (tokens),10850461.00
Total Usage Total Tokens (tokens),10955954.00


Endpoint,GPU_Index,GPU_Name,GPU_UUID,Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
