Metric,avg,min,max,sum,p1,p5,p10,p25,p50,p75,p90,p95,p99,std
Active Decode Throughput (tokens/sec),282.01,0.00,74408.27,,,,,,262.92,,402.69,442.91,518.35,226.63
Active Decode Throughput Per User (tokens/sec/user),32.41,0.00,24802.76,,,,,,31.06,,40.61,44.51,54.05,52.85
Active Prefill Throughput (tokens/sec),58093.14,565.12,293776.91,,,,,,55439.90,,102574.88,119613.50,164993.48,34988.36
Active Prefill Throughput Per User (tokens/sec/user),45113.81,565.12,149472.05,,,,,,44797.24,,80248.37,93158.12,120479.76,27418.46
Active Total Throughput (tokens/sec),25313.69,27.25,294085.86,,,,,,393.23,,77837.60,99992.70,140947.80,36796.86
Credit Drop Latency (ms),5.55,1.96,48.31,149.75,2.02,2.21,2.29,2.96,4.17,4.82,5.70,6.47,37.43,8.47
Credit-to-Start Latency (ms),1.80,0.75,56.49,1331.18,1.04,1.16,1.24,1.35,1.48,1.62,1.80,3.63,7.56,2.39
E2E Output Token Throughput (tokens/sec/user),28.44,2.32,52.60,20989.87,4.29,12.98,18.01,24.91,30.11,33.42,35.80,37.30,40.45,7.49
Effective Concurrency,9.67,1.00,19.00,,,,,,10.00,,13.00,14.00,16.00,2.72
Effective Decode Concurrency,8.96,0.00,16.00,,,,,,9.00,,12.00,13.00,15.00,2.52
Effective Decode Throughput (tokens/sec),281.76,0.00,74408.27,,,,,,262.86,,402.69,442.91,518.35,226.69
Effective Decode Throughput Per User (tokens/sec/user),32.38,0.00,24802.76,,,,,,31.04,,40.61,44.51,54.04,52.83
Effective Latency (CO-aware) (ms),23947.71,578.74,401428.98,17673412.89,768.85,2446.70,3683.64,6273.73,11150.21,26141.06,58448.17,85559.87,177626.96,37393.98
Effective Prefill Concurrency,0.71,0.00,6.00,,,,,,0.00,,2.00,3.00,5.00,1.08
Effective Prefill Throughput (tokens/sec),25027.83,0.00,293776.91,,,,,,0.00,,77549.14,99637.36,140588.43,36809.77
Effective Prefill Throughput Per User (tokens/sec/user),19436.05,0.00,149472.05,,,,,,0.00,,63719.37,77549.14,106334.02,28687.18
Effective Total Throughput (tokens/sec),25313.69,27.25,294085.86,,,,,,393.23,,77837.60,99992.70,140947.80,36796.86
HTTP Blocked (ms),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
HTTP Chunks Received,691.07,5.00,11678.00,510013.00,14.00,26.00,89.00,157.25,334.50,786.75,1637.00,2380.30,5421.11,1086.83
HTTP Chunks Sent,1.00,1.00,1.00,738.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.00
HTTP Connecting (ms),0.46,0.00,2.32,337.83,0.00,0.00,0.00,0.00,0.64,0.71,1.10,1.19,1.30,0.43
HTTP Connection Overhead (ms),0.51,0.00,2.32,375.19,0.00,0.00,0.00,0.00,0.64,0.71,1.48,1.64,1.84,0.53
HTTP Connection Reused (ratio),0.42,0.00,1.00,312.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,0.49
HTTP Data Received (KB),185.46,2.15,3121.29,136872.39,4.57,7.75,24.66,42.95,90.26,210.94,438.48,636.42,1448.57,290.15
HTTP Data Sent (KB),212.42,1.25,430.34,156766.61,1.57,14.30,117.01,158.77,211.77,273.10,328.67,354.80,405.46,89.87
HTTP DNS Lookup (ms),0.05,0.00,0.60,37.36,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.46,0.54,0.15
HTTP Duration (excl. conn) (ms),23945.78,574.99,401426.87,17671989.14,765.17,2444.68,3682.05,6272.31,11148.59,26139.50,58446.44,85558.35,177625.07,37393.86
HTTP Receiving (ms),22197.68,94.28,400076.59,16381890.23,287.16,888.16,2352.99,4630.67,9566.89,23937.22,55126.05,82576.12,176886.83,37239.46
HTTP Sending (ms),0.82,0.23,2.66,607.61,0.28,0.31,0.31,0.36,0.98,1.11,1.46,1.59,1.70,0.45
HTTP Total Time (ms),23946.29,574.99,401427.64,17672364.33,765.17,2446.14,3682.49,6272.79,11149.28,26140.44,58447.16,85559.72,177625.77,37393.94
HTTP Waiting (TTFB) (ms),1747.28,95.97,60059.52,1289491.30,263.55,504.37,616.68,839.97,1176.21,1682.91,2560.63,3410.21,6240.15,4123.55
Input Sequence Length (tokens),61983.84,393.00,125790.00,45744071.00,409.00,4125.00,34315.90,46275.50,61747.00,79269.50,96104.80,103319.80,118867.46,26262.05
Inter Chunk Latency (ms),32.15,0.00,62809.09,16381531.42,0.19,18.54,19.86,21.49,22.91,24.00,24.82,28.08,183.81,302.39
Inter Token Latency (ms),31.41,14.94,241.72,23180.83,20.03,22.02,23.16,25.67,28.86,32.33,38.71,46.42,89.31,14.94
OSL Mismatch Diff % (%),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Output Sequence Length (tokens),708.95,5.00,12679.00,523205.00,14.00,26.00,89.00,158.00,335.50,793.00,1693.80,2489.00,5884.80,1146.64
Output Token Count (tokens),708.95,5.00,12679.00,523205.00,14.00,26.00,89.00,158.00,335.50,793.00,1693.80,2489.00,5884.80,1146.64
Output Token Throughput Per User (tokens/sec/user),34.48,4.14,66.94,25449.44,11.20,21.54,25.84,30.93,34.65,38.95,43.19,45.41,49.91,7.41
Prefill Throughput Per User (tokens/sec/user),52589.75,292.24,149472.01,38811234.59,718.30,4950.03,17287.18,31525.52,51054.25,69621.77,91447.59,104899.08,129833.53,28897.25
Request Latency (ms),23945.42,575.12,401427.01,17671722.99,765.28,2444.80,3682.21,6272.43,11148.73,26139.62,58446.56,85558.47,177625.19,37393.56
